,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
16,17,300643,万通智控,9.9935941696167,17.17,238763992,1437728936.97,3434000000.0000005,16.83983039855957,34198948450,094448,094721,1,5/5,5,汽车行业
17,18,002962,五方光电,10.0,37.18,700131696,1873872000.0,7495488000.0,37.85311508178711,31970896100,094548,141642,5,1/1,1,电子元件
18,19,002907,华森制药,10.005266189575195,20.89,579406368,1294353821.39,8388300285.12,45.81919479370117,54355780000,094906,142045,3,5/4,1,医药制造
19,20,002351,漫步者,10.011507987976074,19.12,788389168,5570443744.0,11333666952.960001,14.565521240234375,99588565840,095430,095430,0,6/3,2,电子信息
20,21,002577,雷柏科技,9.991158485412598,12.44,284926144,3492691856.8399997,3519027200.0,8.486464500427246,44069371760,100018,101003,2,1/1,1,电子信息
21,22,603129,春风动力,10.002849578857422,38.6,115915721,2532084884.4,5187276440.0,4.690088748931885,12224349800,100100,101448,4,1/1,1,交运设备
22,23,002448,中原内配,10.079051971435547,5.57,182232995,2623205397.15,3383051523.84,7.035002708435059,8586427930,100257,145227,4,1/1,1,汽车行业
23,24,600836,界龙实业,9.905660629272461,4.66,87788555,3088429315.52,3088429315.52,2.922078847885132,22675848920,100750,100750,0,1/1,1,包装材料
24,25,603516,淳中科技,9.994222640991211,38.08,202443637,3361572166.3999996,4987161670.4,6.195773601531982,17889565120,102538,102538,0,1/1,1,安防设备
25,26,300787,海能实业,9.997845649719238,51.05,319200032,1083281000.0,4333124000.0,30.07866096496582,30539079950,103745,112718,3,1/1,1,电子元件
26,27,002713,东易日盛,10.046367645263672,7.12,20847271,2857500564.88,2987103269.12,0.7499051690101624,20131465360,104930,104930,0,1/1,1,装修装饰
27,28,002967,广电计量,10.0,33.0,918504512,2728110000.0,10912110000.0,34.97392272949219,95189853000,110415,110415,0,20/13,1,综合行业
28,29,300341,麦克奥迪,9.98196029663086,18.29,1542156048,9321364726.939999,9330887561.76,17.080907821655273,38937581000,110557,145151,8,15/10,1,输配电气
